Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz_timezone
El Tari Airport,Kupang,Indonesia,KOE,WATT,-10.17160034,123.6709976,335,8,N,Asia/Makassar
El Tehuelche Airport,Puerto Madryn,Argentina,PMY,SAVY,-42.7592,-65.1027,427,-3,N,America/Catamarca
El Tepual Airport,Puerto Montt,Chile,PMC,SCTE,-41.43889999,-73.09400177,294,-4,S,America/Santiago
El Tor Airport,El-tor,Egypt,ELT,HETR,28.20899963,33.64550018,115,2,U,Africa/Cairo
El Toro Marine Corps Air Station,Santa Ana,United States,NZJ,KNZJ,33.67610168,-117.7310028,383,-8,A,America/Los_Angeles
El Trompillo Airport,Santa Cruz,Bolivia,SRZ,SLET,-17.81159973,-63.17150116,1371,-4,U,America/La_Paz
El Yopal Airport,Yopal,Colombia,EYP,SKYP,5.31911,-72.384,1028,-5,U,America/Bogota
Elazığ Airport,Elazig,Turkey,EZS,LTCA,38.60689926,39.29140091,2927,3,E,Europe/Istanbul
Elcho Island Airport,Elcho Island,Australia,ELC,YELD,-12.01939964,135.5709991,101,9.5,O,Australia/Darwin
Eldoret International Airport,Eldoret,Kenya,EDL,HKEL,0.4044579864,35.23889923,6941,3,U,Africa/Nairobi
Elefsis Airport,Elefsis,Greece,\N,LGEL,38.06380081,23.55599976,143,2,E,Europe/Athens
Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.93640137,23.94449997,308,2,E,Europe/Athens
Elista Airport,Elista,Russia,ESL,URWI,46.37390137,44.33089828,501,3,N,Europe/Moscow
Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,ECG,KECG,36.26060104,-76.17459869,12,-5,A,America/New_York
Elkins-Randolph Co-Jennings Randolph Field,Elkins,United States,EKN,KEKN,38.88940048,-79.85710144,1987,-5,A,America/New_York
Elko Regional Airport,Elko,United States,EKO,KEKO,40.82490158,-115.7919998,5140,-8,A,America/Los_Angeles
Ellington Airport,Houston,United States,EFD,KEFD,29.6072998,-95.15879822,32,-6,A,America/Chicago
Ellison Onizuka Kona International At Keahole Airport,Kona,United States,KOA,PHKO,19.738783,-156.045603,47,-10,N,Pacific/Honolulu
Ellsworth Air Force Base,Rapid City,United States,RCA,KRCA,44.14500046,-103.1039963,3276,-7,A,America/Denver
Elmendorf Air Force Base,Anchorage,United States,EDF,PAED,61.25099945,-149.8070068,212,-9,A,America/Anchorage
Elmira Corning Regional Airport,Elmira,United States,ELM,KELM,42.15990067,-76.89160156,954,-5,A,America/New_York
Elorza Airport,Elorza,Venezuela,EOZ,SVEZ,7.083333015,-69.53333282,295,-4,U,America/Caracas
Eloy Alfaro International Airport,Manta,Ecuador,MEC,SEMT,-0.9460780025,-80.67880249,48,-5,U,America/Guayaquil
Emanuel County Airport,Santa Barbara,United States,\N,KSBO,32.60910034,-82.36990356,327,-5,A,America/New_York
EMBRAER - Unidade Gavião Peixoto Airport,Macae,Brazil,\N,SBGP,-21.77370071,-48.40510178,1998,-3,S,America/Sao_Paulo
Emden Airport,Emden,Germany,EME,EDWE,53.391109,7.2275,3,1,E,Europe/Berlin
Emerald Airport,Emerald,Australia,EMD,YEML,-23.56749916,148.1790009,624,10,O,Australia/Brisbane
Emmaboda Airfield,Emmaboda,Sweden,\N,ESMA,56.610802,15.6048,442,1,E,Europe/Stockholm
Emmen Air Base,Emmen,Switzerland,EML,LSME,47.092444,8.305184,1400,1,E,Europe/Zurich
Ende (H Hasan Aroeboesman) Airport,Ende,Indonesia,ENE,WATE,-8.849289894,121.6610031,49,8,N,Asia/Makassar
Enghien Moisselles Airfield,Enghien-moisselles,France,\N,LFFE,49.046398,2.35306,335,1,E,Europe/Paris
Eniwetok Airport,Eniwetok Atoll,Marshall Islands,ENT,PKMA,11.34070015,162.3280029,13,12,U,Pacific/Majuro
Enontekio Airport,Enontekio,Finland,ENF,EFET,68.36260223,23.42429924,1005,2,E,Europe/Helsinki
Enrique Adolfo Jimenez Airport,Colón,Panama,ONX,MPEJ,9.356639862,-79.86740112,25,-5,U,America/Panama
Enrique Malek International Airport,David,Panama,DAV,MPDA,8.390999794,-82.43499756,89,-5,U,America/Panama
Enrique Olaya Herrera Airport,Medellin,Colombia,EOH,SKMD,6.220549,-75.590582,4949,-5,U,America/Bogota
Ensenada International Airport,Ensenada,Mexico,ESE,MMES,31.7953,-116.602997,66,-8,S,America/Tijuana
Enshi Airport,Enshi,China,ENH,ZHES,30.32029915,109.4850006,1605,8,U,Asia/Shanghai
Entebbe International Airport,Entebbe,Uganda,EBB,HUEN,0.042386,32.443501,3782,3,U,Africa/Kampala
Enua Airport,Atiu Island,Cook Islands,AIU,NCAT,-19.96780014,-158.1190033,36,-10,U,Pacific/Rarotonga
Épinal-Mirecourt Airport,Epinal,France,EPL,LFSG,48.325001,6.06998,1084,1,E,Europe/Paris
Eppley Airfield,Omaha,United States,OMA,KOMA,41.3032,-95.894096,984,-6,A,America/Chicago
Erbil International Airport,Erbil,Iraq,EBL,ORER,36.23759842,43.96319962,1341,3,U,Asia/Baghdad
Ercan International Airport,Nicosia,Cyprus,ECN,LCEN,35.15470123,33.49610138,404,2,E,Asia/Nicosia
Erding Airport,Erding,Germany,\N,ETSE,48.32229996,11.94869995,1515,1,E,Europe/Berlin
Erebuni Airport,Yerevan,Armenia,\N,UDYE,40.12210083,44.46500015,2948,4,E,Asia/Yerevan
Erechim Airport,Erechim,Brazil,ERM,SSER,-27.66189957,-52.2682991,2498,-3,S,America/Sao_Paulo
Erfurt Airport,Erfurt,Germany,ERF,EDDE,50.97980118,10.95810032,1036,1,E,Europe/Berlin
Erie International Tom Ridge Field,Erie,United States,ERI,KERI,42.08312701,-80.17386675,732,-5,A,America/New_York
Ermelo Airport,Ermelo,South Africa,\N,FAEO,-26.49559975,29.97979927,5700,2,U,Africa/Johannesburg
Ernest A. Love Field,Prescott,United States,PRC,KPRC,34.65449905,-112.4199982,5045,-7,A,America/Phoenix
Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ,SKBQ,10.8896,-74.7808,98,-5,U,America/Bogota
Eros Airport,Windhoek,Namibia,ERS,FYWE,-22.61219978,17.08040047,5575,1,S,Africa/Windhoek
Erzincan Airport,Erzincan,Turkey,ERC,LTCD,39.71020126,39.52700043,3783,3,E,Europe/Istanbul
Erzurum International Airport,Erzurum,Turkey,ERZ,LTCE,39.95650101,41.17020035,5763,3,E,Europe/Istanbul
Es Senia Airport,Oran,Algeria,ORN,DAOO,35.62390137,-0.6211829782,295,1,N,Africa/Algiers
Esbjerg Airport,Esbjerg,Denmark,EBJ,EKEB,55.525902,8.5534,97,1,E,Europe/Copenhagen
Escuela Mariscal Sucre Airport,Maracay,Venezuela,MYC,SVBS,10.24997807,-67.64942169,1338,-4,U,America/Caracas
Esenboğa International Airport,Ankara,Turkey,ESB,LTAC,40.12810135,32.99509811,3125,3,E,Europe/Istanbul
Esfahan Shahid Beheshti International Airport,Esfahan,Iran,IFN,OIFM,32.75080109,51.86130142,5059,3.5,E,Asia/Tehran
Eskilstuna Airport,Eskilstuna,Sweden,EKT,ESSU,59.35110092,16.70840073,139,1,E,Europe/Stockholm
Eskişehir Air Base,Eskisehir,Turkey,ESK,LTBI,39.78409958,30.58209991,2581,3,E,Europe/Istanbul
Esler Regional Airport,Alexandria,United States,ESF,KESF,31.39489937,-92.29579926,112,-6,A,America/Chicago
Esperance Airport,Esperance,Australia,EPR,YESP,-33.684399,121.822998,470,8,O,Australia/Perth
Essen Mulheim Airport,Essen,Germany,ESS,EDLE,51.40230179,6.937329769,424,1,E,Europe/Berlin
Estevan Airport,Estevan,Canada,YEN,CYEN,49.21030045,-102.9660034,1905,-6,N,America/Regina
Étain-Rouvres Air Base,Etain,France,\N,LFQE,49.22689819,5.67222023,770,1,E,Europe/Paris
Etimesgut Air Base,Ankara,Turkey,ANK,LTAD,39.94979858,32.68859863,2653,3,E,Europe/Istanbul
Eugene F. Correira International Airport,Georgetown,Guyana,OGL,SYGO,6.80628,-58.1059,10,-4,U,America/Guyana
Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,MAZ,TJMZ,18.25569916,-67.14849854,28,-4,U,America/Puerto_Rico
Eulogio Sánchez Airport,Santiago,Chile,\N,SCTB,-33.45629883,-70.54669952,2129,-4,S,America/Santiago
Eura Airport,Eura,Finland,\N,EFEU,61.11610031,22.20140076,259,2,E,Europe/Helsinki
Eureka Airport,Eureka,Canada,YEU,CYEU,79.99469757,-85.81420136,256,-6,A,America/Winnipeg
Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX,SBVT,-20.258057,-40.286388,11,-3,S,America/Sao_Paulo
EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,LFSB,47.59,7.5291667,885,1,E,Europe/Paris
Evansville Regional Airport,Evansville,United States,EVV,KEVV,38.03699875,-87.53240204,418,-6,A,America/Chicago
Evelio Javier Airport,San Jose,Philippines,EUQ,RPVS,10.76599979,121.9329987,23,8,N,Asia/Manila
Évora Airport,Evora,Portugal,\N,LPEV,38.533501,-7.88964,807,0,E,Europe/Lisbon
Évreux-Fauville (BA 105) Air Base,Evreux,France,EVX,LFOE,49.02870178,1.219859958,464,1,E,Europe/Paris
Exeter International Airport,Exeter,United Kingdom,EXT,EGTE,50.7344017,-3.413889885,102,0,E,Europe/London
Exuma International Airport,Great Exuma,Bahamas,GGT,MYEF,23.56259918,-75.87799835,9,-5,U,America/Nassau
F. D. Roosevelt Airport,Oranjestad,Netherlands Antilles,EUX,TNCE,17.49650002,-62.97940063,129,-4,U,America/Curacao
Faa'a International Airport,Papeete,French Polynesia,PPT,NTAA,-17.553699,-149.606995,5,-10,U,Pacific/Tahiti
Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP,SKMU,1.25366,-70.2339,680,-5,U,America/Bogota
Fagali'i Airport,Apia,Samoa,FGI,NSFI,-13.84869957,-171.7400055,131,13,U,Pacific/Apia
Fair Isle Airport,Fair Isle,United Kingdom,FIE,EGEF,59.53580093,-1.628059983,223,0,E,Europe/London
Fairbanks International Airport,Fairbanks,United States,FAI,PAFA,64.81510162,-147.8560028,439,-9,A,America/Anchorage
Fairchild Air Force Base,Spokane,United States,SKA,KSKA,47.61510086,-117.6559982,2461,-8,A,America/Los_Angeles
Faisalabad International Airport,Faisalabad,Pakistan,LYP,OPFA,31.36499977,72.99479675,591,5,N,Asia/Karachi
Fakarava Airport,Fakarava,French Polynesia,FAV,NTGF,-16.05410004,-145.6569977,13,-10,U,Pacific/Tahiti
Fakfak Airport,Fak Fak,Indonesia,FKQ,WASF,-2.920190096,132.2669983,462,9,N,Asia/Jayapura
Falcone–Borsellino Airport,Palermo,Italy,PMO,LICJ,38.175999,13.091,65,1,E,Europe/Rome
Faleolo International Airport,Faleolo,Samoa,APW,NSFA,-13.82999992,-172.0079956,58,13,U,Pacific/Apia
Falköping Airport,Falkoping,Sweden,\N,ESGK,58.1697998,13.58780003,785,1,E,Europe/Stockholm
Fallon Naval Air Station,Fallon,United States,NFL,KNFL,39.41659927,-118.7009964,3934,-8,A,America/Los_Angeles
Falls International Airport,International Falls,United States,INL,KINL,48.56620026,-93.40309906,1185,-6,A,America/Chicago
Fangatau Airport,Fangatau,French Polynesia,FGU,NTGB,-15.81989956,-140.8869934,9,-10,U,Pacific/Tahiti
Farafangana Airport,Farafangana,Madagascar,RVA,FMSG,-22.80529976,47.8205986,26,3,U,Indian/Antananarivo
Faranah Airport,Faranah,Guinea,FAA,GUFH,10.03549957,-10.76980019,1476,0,N,Africa/Conakry
Farnborough Airport,Farnborough,United Kingdom,FAB,EGLF,51.2757988,-0.7763329744,238,0,E,Europe/London
Faro Airport,Faro,Canada,ZFA,CZFA,62.20750046,-133.3760071,2351,-8,A,America/Vancouver
Faro Airport,Faro,Portugal,FAO,LPFR,37.01440048,-7.965909958,24,0,E,Europe/Lisbon
Farquhar Airport,Farquhar,Seychelles,\N,FSFA,-10.1096,51.176102,10,4,U,Indian/Mahe
Fasa Airport,Fasa,Iran,FAZ,OISF,28.89179993,53.72330093,4261,3.5,E,Asia/Tehran
Fascene Airport,Nosy-be,Madagascar,NOS,FMNN,-13.31210041,48.31480026,36,3,U,Indian/Antananarivo
Fassberg Air Base,Fassberg,Germany,\N,ETHS,52.919399,10.185827,245,1,E,Europe/Berlin
Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS,WIPL,-3.8637,102.338997,50,7,N,Asia/Jakarta
Faya Largeau Airport,Faya-largeau,Chad,FYT,FTTY,17.91710091,19.11109924,771,1,N,Africa/Ndjamena
Fayetteville Regional Grannis Field,Fayetteville,United States,FAY,KFAY,34.99119949,-78.88030243,189,-5,A,America/New_York
Fayzabad Airport,Faizabad,Afghanistan,FBD,OAFZ,37.121101,70.518097,3872,4.5,U,Asia/Kabul
Federico Fellini International Airport,Rimini,Italy,RMI,LIPR,44.020302,12.6117,40,1,E,Europe/Rome
Federico Garcia Lorca Airport,Granada,Spain,GRX,LEGR,37.18870163,-3.777359962,1860,1,E,Europe/Madrid
Felker Army Air Field,Fort Eustis,United States,FAF,KFAF,37.13249969,-76.6088028,12,-5,A,America/New_York
Felts Field,Spokane,United States,SFF,KSFF,47.68280029,-117.322998,1953,-8,A,America/Los_Angeles
Fera/Maringe Airport,Fera Island,Solomon Islands,FRE,AGGF,-8.1075,159.576996,0,11,U,Pacific/Guadalcanal
Fergana International Airport,Fergana,Uzbekistan,FEG,UTKF,40.35879898,71.74500275,1980,5,U,Asia/Samarkand
Feringe Airport,Ljungby,Sweden,\N,ESMG,56.95029831,13.92169952,538,1,E,Europe/Stockholm
Fernando Air Base,Lipa,Philippines,\N,RPUL,13.95499992,121.125,1220,8,N,Asia/Manila
Fernando de Noronha Airport,Fernando Do Noronha,Brazil,FEN,SBFN,-3.85493,-32.423302,193,-3,S,America/Fortaleza
Fernando Luis Ribas Dominicci Airport,San Juan,Puerto Rico,SIG,TJIG,18.45680046,-66.09809875,10,-4,U,America/Puerto_Rico
Fianarantsoa Airport,Fianarantsoa,Madagascar,WFI,FMSF,-21.4416008,47.11169815,3658,3,U,Indian/Antananarivo
Ficksburg Sentraoes Airport,Ficksburg,South Africa,FCB,FAFB,-28.82309914,27.90889931,5315,2,U,Africa/Johannesburg
Figari Sud-Corse Airport,Figari,France,FSC,LFKF,41.50059891,9.097780228,87,1,E,Europe/Paris
Filippos Airport,Kozani,Greece,KZI,LGKZ,40.28609848,21.84079933,2059,2,E,Europe/Athens
Finca 10 / Nuevo Palmar Sur Airport,Finca 10,Costa Rica,\N,MRFI,8.916350365,-83.50730133,25,-6,U,America/Costa_Rica
Finsterwalde/Schacksdorf Airport,Soest,Germany,\N,EDUS,51.607498,13.743611,384,1,E,Europe/Berlin
Flagstaff Pulliam Airport,Flagstaff,United States,FLG,KFLG,35.13850021,-111.6709976,7014,-7,N,America/Phoenix
Flamingo International Airport,Kralendijk,Netherlands Antilles,BON,TNCB,12.13099957,-68.26850128,20,-4,U,America/Curacao
Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF,EDXF,54.7733345,9.378889084,131,1,E,Europe/Berlin
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.67810059,-101.6819992,997,-6,A,America/Winnipeg
Flinders Island Airport,Flinders Island,Australia,FLS,YFLI,-40.09170151,147.9929962,10,10,O,Australia/Melbourne
Florence Regional Airport,Florence,United States,FLO,KFLO,34.1853981,-79.72389984,146,-5,A,America/New_York
Florennes Air Base,Florennes,Belgium,\N,EBFS,50.24330139,4.645830154,935,1,E,Europe/Brussels
Flores Airport,Flores,Portugal,FLW,LPFL,39.45529938,-31.13139915,112,-1,E,Atlantic/Azores
Florida Airport,Florida,Cuba,\N,MUFL,21.49970055,-78.20279694,197,-5,U,America/Havana
Florø Airport,Floro,Norway,FRO,ENFL,61.58359909,5.024720192,37,1,E,Europe/Oslo
Flugplatz Bautzen,Bautzen,Germany,\N,EDAB,51.193611,14.519722,568,1,E,Europe/Berlin
Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,\N,EDKV,50.40555573,6.528889179,1896,1,E,Europe/Berlin
Flugplatz Finsterwalde/Heinrichsruh,Finsterwalde,Germany,\N,EDAS,51.634445,13.675556,384,1,E,Europe/Berlin
Flugplatz Kitzingen,Kitzingen,Germany,KZG,ETIN,49.743099,10.2006,689,1,E,Europe/Berlin
"Foggia ""Gino Lisa"" Airport",Foggia,Italy,FOG,LIBF,41.432899,15.535,265,1,E,Europe/Rome
Fond-Du-Lac Airport,Fond-Du-Lac,Canada,ZFD,CZFD,59.33440018,-107.1819992,814,-6,N,America/Regina
Ford Airport,Iron Mountain,United States,IMT,KIMT,45.81840134,-88.11450195,1182,-6,A,America/Chicago
Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610138,-69.09719849,293,-5,A,America/Toronto
Forlì Airport,Forli,Italy,FRL,LIPK,44.194801,12.0701,97,1,E,Europe/Rome
Formosa Airport,Formosa,Argentina,FMA,SARF,-26.2127,-58.2281,193,-3,N,America/Cordoba
Fort Albany Airport,Fort Albany,Canada,YFA,CYFA,52.20140076,-81.69689941,48,-5,A,America/Toronto
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.76720047,-111.1169968,761,-7,A,America/Edmonton
Fort Dodge Regional Airport,Fort Dodge,United States,FOD,KFOD,42.55149841,-94.19259644,1156,-6,A,America/Chicago
Fort Frances Municipal Airport,Fort Frances,Canada,YAG,CYAG,48.65420151,-93.43969727,1125,-6,A,America/Winnipeg
Fort Good Hope Airport,Fort Good Hope,Canada,YGH,CYGH,66.24079895,-128.651001,268,-7,A,America/Edmonton
Fort Hope Airport,Fort Hope,Canada,YFH,CYFH,51.56190109,-87.90779877,899,-5,A,America/Toronto
Fort Lauderdale Executive Airport,Fort Lauderdale,United States,FXE,KFXE,26.19729996,-80.17070007,13,-5,A,America/New_York
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,9,-5,A,America/New_York
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.65330124,-111.2220001,1211,-7,A,America/Edmonton
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122,-134.8609924,116,-7,A,America/Edmonton
Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.83639908,-122.5970001,1253,-8,A,America/Vancouver
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.18080139,-113.6900024,526,-7,A,America/Edmonton
Fort Severn Airport,Fort Severn,Canada,YER,CYER,56.01890182,-87.67610168,48,-5,A,America/Toronto
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.7602005,-121.2369995,555,-7,A,America/Edmonton
Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.02030182,-111.961998,671,-7,A,America/Edmonton
Fort Smith Regional Airport,Fort Smith,United States,FSM,KFSM,35.33660126,-94.36740112,469,-6,A,America/Chicago
Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814,-120.7399979,2280,-7,A,America/Dawson_Creek
Fort Stockton Pecos County Airport,Fort Stockton,United States,FST,KFST,30.91570091,-102.9160004,3011,-6,A,America/Chicago
Fort Wayne International Airport,Fort Wayne,United States,FWA,KFWA,40.97850037,-85.19509888,814,-5,A,America/New_York
Fort Worth Meacham International Airport,Fort Worth,United States,FTW,KFTW,32.819801,-97.362396,710,-6,A,America/Chicago
Fort Yukon Airport,Fort Yukon,United States,FYU,PFYU,66.57150269,-145.25,433,-9,A,America/Anchorage
Foumban Nkounja Airport,Foumban,Cameroon,FOM,FKKM,5.636919975,10.75080013,3963,1,N,Africa/Douala
Four Corners Regional Airport,Farmington,United States,FMN,KFMN,36.74119949,-108.2300034,5506,-7,A,America/Denver
Francis S Gabreski Airport,West Hampton Beach,United States,FOK,KFOK,40.84370041,-72.63179779,67,-5,A,America/New_York
Francisco B. Reyes Airport,Busuanga,Philippines,USU,RPVV,12.12150002,120.0999985,148,8,N,Asia/Manila
Francisco Bangoy International Airport,Davao,Philippines,DVO,RPMD,7.125520229,125.6460037,96,8,N,Asia/Manila
Francisco Carle Airport,Jauja,Peru,JAU,SPJJ,-11.78310013,-75.4733963,11034,-5,U,America/Lima
Francisco de Assis Airport,Juiz De Fora,Brazil,JDF,SBJF,-21.79150009,-43.38679886,2989,-3,S,America/Sao_Paulo
Francisco De Orellana Airport,Coca,Ecuador,OCC,SECO,-0.4628860056,-76.98680115,834,-5,U,America/Guayaquil
Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,LPPR,41.24810028,-8.681389809,228,0,E,Europe/Lisbon
Francisco Sarabia International Airport,Torreon,Mexico,TRC,MMTC,25.56830025,-103.4110031,3688,-6,S,America/Mexico_City
Francisco Vilela do Amaral Airport,Itumbiara,Brazil,ITR,SBIT,-18.44470024,-49.21340179,1630,-3,S,America/Sao_Paulo
Francistown Airport,Francistown,Botswana,FRW,FBFT,-21.1595993,27.47450066,3283,2,U,Africa/Gaborone
Frank Miloye Milenkowichi–Marília State Airport,Marília,Brazil,MII,SBML,-22.19689941,-49.92639923,2122,-3,S,America/Sao_Paulo
Frank Pais International Airport,Holguin,Cuba,HOG,MUHG,20.78560066,-76.31510162,361,-5,U,America/Havana
Frank Wiley Field,Miles City,United States,MLS,KMLS,46.4280014,-105.8860016,2630,-7,A,America/Denver
Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin
Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,EDFE,49.959999,8.645833,384,1,E,Europe/Berlin
Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389,1649,1,E,Europe/Berlin
Frans Kaisiepo Airport,Biak,Indonesia,BIK,WABB,-1.190019965,136.1080017,46,9,N,Asia/Jayapura
Frans Sales Lega Airport,Ruteng,Indonesia,RTG,WATG,-8.597009659,120.4769974,3510,8,N,Asia/Makassar
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.8689003,-66.53720093,68,-4,A,America/Halifax
Freiburg i. Br. Airport,Freiburg,Germany,\N,EDTF,48.02277756,7.832499981,801,1,E,Europe/Berlin
Fresno Yosemite International Airport,Fresno,United States,FAT,KFAT,36.77619934,-119.7180023,336,-8,A,America/Los_Angeles
Fria Airport,Fira,Guinea,FIG,GUFA,10.35060024,-13.56919956,499,0,N,Africa/Conakry
Friedman Memorial Airport,Hailey,United States,SUN,KSUN,43.50439835,-114.2959976,5318,-7,A,America/Denver
Friedrichshafen Airport,Friedrichshafen,Germany,FDH,EDNY,47.67129898,9.511489868,1367,1,E,Europe/Berlin
Fritzlar Airport,Fritzlar,Germany,FRZ,ETHF,51.1146,9.286,1345,1,E,Europe/Berlin
Fua'amotu International Airport,Tongatapu,Tonga,TBU,NFTF,-21.24119949,-175.1499939,126,13,U,Pacific/Tongatapu
Fuerteventura Airport,Fuerteventura,Spain,FUE,GCFV,28.45269966,-13.86380005,85,0,E,Atlantic/Canary
Fujairah International Airport,Fujeirah,United Arab Emirates,FJR,OMFJ,25.11219978,56.32400131,152,4,U,Asia/Dubai
Fukue Airport,Fukue,Japan,FUJ,RJFE,32.66630173,128.8329926,273,9,U,Asia/Tokyo
Fukui Airport,Fukui,Japan,FKJ,RJNF,36.14279938,136.223999,19,9,U,Asia/Tokyo
Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.58589935,130.451004,32,9,U,Asia/Tokyo
Fukushima Airport,Fukushima,Japan,FKS,RJSF,37.22740173,140.4309998,1221,9,U,Asia/Tokyo
Fullerton Municipal Airport,Fullerton,United States,FUL,KFUL,33.87200165,-117.9800034,96,-8,A,America/Los_Angeles
Funafuti International Airport,Funafuti,Tuvalu,FUN,NGFU,-8.525,179.195999,9,12,U,Pacific/Funafuti
Furnas Airport,Alpinopolis,Brazil,\N,SBFU,-20.70280075,-46.33530045,2413,-3,S,America/Sao_Paulo
Fursatganj Airport,Raibarelli,India,\N,VIRB,26.24850082,81.38050079,360,5.5,N,Asia/Calcutta
Fürstenfeldbruck Air Base,Fuerstenfeldbruck,Germany,FEL,ETSF,48.205555,11.266944,1703,1,E,Europe/Berlin
Futaleufú Airport,Futaleufu,Chile,FFU,SCFT,-43.18920135,-71.85109711,1148,-4,S,America/Santiago
Futenma Marine Corps Air Station,Futema,Japan,\N,ROTM,26.27429962,127.7559967,247,9,U,Asia/Tokyo
Futuna Airport,Futuna Island,Vanuatu,FTA,NVVF,-19.51639938,170.2319946,95,11,U,Pacific/Efate
Fuzhou Changle International Airport,Fuzhou,China,FOC,ZSFZ,25.93510056,119.663002,46,8,U,Asia/Shanghai
Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689972,10.10330009,26,1,E,Africa/Tunis
Gachsaran Airport,Gachsaran,Iran,GCH,OIAH,30.33760071,50.82799912,2414,3.5,E,Asia/Tehran
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.42200089,8.822500229,1060,1,E,Africa/Tunis
Gainesville Regional Airport,Gainesville,United States,GNV,KGNV,29.69009972,-82.27179718,152,-5,A,America/New_York
Galcaio Airport,Galcaio,Somalia,GLK,HCMR,6.780829906,47.45470047,975,3,U,Africa/Mogadishu
Gallatin Field,Bozeman,United States,BZN,KBZN,45.77750015,-111.1529999,4473,-7,A,America/Denver
Gällivare Airport,Gallivare,Sweden,GEV,ESNG,67.13240051,20.81459999,1027,1,E,Europe/Stockholm
Gallup Municipal Airport,Gallup,United States,GUP,KGUP,35.51110077,-108.7890015,6472,-7,A,America/Denver
Galway Airport,Galway,Ireland,GWY,EICM,53.30020142,-8.941590309,81,0,E,Europe/Dublin
Gamal Abdel Nasser Airport,Tobruk,Libya,TOB,HLGN,31.861,23.907,519,2,N,Africa/Tripoli
Gambell Airport,Gambell,United States,GAM,PAGM,63.76679993,-171.7330017,27,-9,A,America/Anchorage
Gambella Airport,Gambella,Ethiopia,GMB,HAGM,8.128760338,34.56309891,1614,3,U,Africa/Addis_Ababa
Gan International Airport,Gan Island,Maldives,GAN,VRMG,-0.693342,73.155602,6,5,U,Indian/Maldives
Gander International Airport,Gander,Canada,YQX,CYQX,48.93690109,-54.56809998,496,-3.5,A,America/St_Johns
Gangneung Airport (K-18),Kangnung,South Korea,KAG,RKNN,37.753601,128.943915,35,9,U,Asia/Seoul
Ganja Airport,Ganja,Azerbaijan,KVD,UBBG,40.73770142,46.31760025,1083,4,E,Asia/Baku
Ganzhou Airport,Ganzhou,China,KOW,ZSGZ,25.853333,114.778889,387,8,U,Asia/Shanghai
Gao Airport,Gao,Mali,GAQ,GAGO,16.24839973,-0.005456000101,870,0,N,Africa/Bamako
Gardabya Airport,Sirt,Libya,SRX,HLGD,31.06349945,16.59499931,267,2,N,Africa/Tripoli
Garden City Regional Airport,Garden City,United States,GCK,KGCK,37.92750168,-100.723999,2891,-6,A,America/Chicago
Gariep Dam Airport,Hendrik Verwoerddam,South Africa,\N,FAHV,-30.56220055,25.52829933,4176,2,U,Africa/Johannesburg
Garoua International Airport,Garoua,Cameroon,GOU,FKKR,9.335889816,13.37010002,794,1,N,Africa/Douala
Gary Chicago International Airport,Gary,United States,GYY,KGYY,41.61629868,-87.41280365,591,-6,A,America/Chicago
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.77529907,-64.47859955,112,-5,A,America/Toronto
Gassim Airport,Gassim,Saudi Arabia,ELQ,OEGS,26.30279922,43.7743988,2126,3,U,Asia/Riyadh
Gaua Island Airport,Gaua Island,Vanuatu,ZGU,NVSQ,-14.21809959,167.5870056,100,11,U,Pacific/Efate
